Movie Name,Average Rating,genres
"Usual Suspects, The (1995)",4.334372208,Crime|Mystery|Thriller
Seven Samurai (Shichinin no samurai) (1954),4.274179657,Action|Adventure|Drama
Rear Window (1954),4.271333601,Mystery|Thriller
Band of Brothers (2001),4.263182346,Action|Drama|War
"Third Man, The (1949)",4.246001523,Film-Noir|Mystery|Thriller
City of God (Cidade de Deus) (2002),4.235410064,Action|Adventure|Crime|Drama|Thriller
"Lives of Others, The (Das leben der Anderen) (2006)",4.23479021,Drama|Romance|Thriller
North by Northwest (1959),4.233538107,Action|Adventure|Mystery|Romance|Thriller
Fight Club (1999),4.227123124,Action|Crime|Drama|Thriller
"Dark Knight, The (2008)",4.220129171,Action|Crime|Drama|IMAX
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.219009123,Action|Adventure
Yojimbo (1961),4.211716774,Action|Adventure
Chinatown (1974),4.199673416,Crime|Film-Noir|Mystery|Thriller
Notorious (1946),4.197789943,Film-Noir|Romance|Thriller
M (1931),4.193171078,Crime|Film-Noir|Thriller
Star Wars: Episode IV - A New Hope (1977),4.190671902,Action|Adventure|Sci-Fi
Star Wars: Episode V - The Empire Strikes Back (1980),4.188202061,Action|Adventure|Sci-Fi
"Matrix, The (1999)",4.187185881,Action|Sci-Fi|Thriller
Touch of Evil (1958),4.183022467,Crime|Film-Noir|Thriller
Memento (2000),4.178546792,Mystery|Thriller
"Silence of the Lambs, The (1991)",4.17705651,Crime|Horror|Thriller
"Princess Bride, The (1987)",4.176732339,Action|Adventure|Comedy|Fantasy|Romance
Pulp Fiction (1994),4.174231169,Comedy|Crime|Drama|Thriller
"Treasure of the Sierra Madre, The (1948)",4.161396702,Action|Adventure|Drama|Western
Shadow of a Doubt (1943),4.159618008,Crime|Drama|Thriller
Strangers on a Train (1951),4.158614668,Crime|Drama|Film-Noir|Thriller
Inception (2010),4.156172003,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
Vertigo (1958),4.148006244,Drama|Mystery|Romance|Thriller
Witness for the Prosecution (1957),4.146604938,Drama|Mystery|Thriller
"Lord of the Rings: The Return of the King, The (2003)",4.142382114,Action|Adventure|Drama|Fantasy
"Boot, Das (Boat, The) (1981)",4.13972965,Action|Drama|War
"Great Escape, The (1963)",4.137655906,Action|Adventure|Drama|War
Blade Runner (1982),4.133705694,Action|Sci-Fi|Thriller
Once Upon a Time in the West (C'era una volta il West) (1968),4.128545496,Action|Drama|Western
"Manchurian Candidate, The (1962)",4.128504673,Crime|Thriller|War
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.123240894,Action|Adventure|Western
Henry V (1989),4.120811856,Action|Drama|Romance|War
Sanjuro (Tsubaki Sanjûrô) (1962),4.117038875,Action|Adventure|Drama
Rebecca (1940),4.115971625,Drama|Mystery|Romance|Thriller
Fargo (1996),4.112359031,Comedy|Crime|Drama|Thriller
Taxi Driver (1976),4.110575548,Crime|Drama|Thriller
"Departed, The (2006)",4.109930813,Crime|Drama|Thriller
Apocalypse Now (1979),4.108899957,Action|Drama|War
"Professional, The (Le professionnel) (1981)",4.10189099,Action|Drama|Thriller
High and Low (Tengoku to jigoku) (1963),4.099833611,Crime|Drama|Film-Noir|Thriller
Princess Mononoke (Mononoke-hime) (1997),4.09629862,Action|Adventure|Animation|Drama|Fantasy
Some Folks Call It a Sling Blade (1993),4.093388121,Drama|Thriller
Old Boy (2003),4.091026261,Mystery|Thriller
Reservoir Dogs (1992),4.089361317,Crime|Mystery|Thriller
"Lady Vanishes, The (1938)",4.086520947,Drama|Mystery|Thriller
L.A. Confidential (1997),4.083376807,Crime|Film-Noir|Mystery|Thriller
Rififi (Du rififi chez les hommes) (1955),4.083113456,Crime|Film-Noir|Thriller
"Wages of Fear, The (Salaire de la peur, Le) (1953)",4.082865169,Action|Adventure|Drama|Thriller
Psycho (1960),4.076899588,Crime|Horror
Charade (1963),4.069916297,Comedy|Crime|Mystery|Romance|Thriller
"Killer, The (Die xue shuang xiong) (1989)",4.066748855,Action|Crime|Drama|Thriller
"Night of the Hunter, The (1955)",4.066315789,Drama|Film-Noir|Thriller
"Samouraï, Le (Godson, The) (1967)",4.065116279,Crime|Drama|Thriller
Saving Private Ryan (1998),4.064416599,Action|Drama|War
Throne of Blood (Kumonosu jô) (1957),4.064090481,Action|Drama|Thriller|War
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),4.061916879,Action|Adventure|Animation|Children|Fantasy|Sci-Fi
"Sixth Sense, The (1999)",4.054998975,Drama|Horror|Mystery
Butch Cassidy and the Sundance Kid (1969),4.053638,Action|Western
Arsenic and Old Lace (1944),4.053597331,Comedy|Mystery|Thriller
Seven (a.k.a. Se7en) (1995),4.053492566,Mystery|Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.050573554,Action|Crime|Drama|Thriller
"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.046599496,Crime|Drama|Mystery|Romance|Thriller
Badlands (1973),4.044859813,Crime|Drama|Thriller
Dial M for Murder (1954),4.043809353,Crime|Mystery|Thriller
Braveheart (1995),4.042533802,Action|Drama|War
Cowboy Bebop (1998),4.042372881,Action|Adventure|Animation|Crime|Sci-Fi
"Prestige, The (2006)",4.042195403,Drama|Mystery|Sci-Fi|Thriller
Snatch (2000),4.04214679,Comedy|Crime|Thriller
Alien (1979),4.041783855,Horror|Sci-Fi
All the President's Men (1976),4.039066059,Drama|Thriller
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",4.037898061,Drama|Fantasy|Thriller
Django Unchained (2012),4.037892791,Action|Drama|Western
To Have and Have Not (1944),4.034192825,Adventure|Drama|Romance|Thriller|War
Gaslight (1944),4.034030141,Drama|Thriller
"Bourne Identity, The (1988)",4.031519065,Action|Adventure|Drama|Mystery|Thriller
To Catch a Thief (1955),4.029155139,Crime|Mystery|Romance|Thriller
Run Lola Run (Lola rennt) (1998),4.025309766,Action|Crime
Interstellar (2014),4.02386429,Sci-Fi|IMAX
Moon (2009),4.021060201,Drama|Mystery|Sci-Fi|Thriller
Seven Days in May (1964),4.020670391,Thriller
Diva (1981),4.0198188,Action|Drama|Mystery|Romance|Thriller
Inglourious Basterds (2009),4.019635863,Action|Drama|War
Amores Perros (Love's a Bitch) (2000),4.01687534,Drama|Thriller
Donnie Darko (2001),4.015989536,Drama|Mystery|Sci-Fi|Thriller
From the Earth to the Moon (1998),4.013636364,Action|Documentary|Drama|Thriller
Toy Story 3 (2010),4.012973534,Adventure|Animation|Children|Comedy|Fantasy|IMAX
Key Largo (1948),4.012602059,Crime|Drama|Film-Noir|Thriller
"Shining, The (1980)",4.011533533,Horror
Diabolique (Les diaboliques) (1955),4.010931559,Horror|Mystery|Thriller
Let the Right One In (Låt den rätte komma in) (2008),4.010526316,Drama|Fantasy|Horror|Romance
Indiana Jones and the Last Crusade (1989),4.007592711,Action|Adventure
Aliens (1986),4.005642138,Action|Adventure|Horror|Sci-Fi
Star Wars: Episode VI - Return of the Jedi (1983),4.004622217,Action|Adventure|Sci-Fi
"39 Steps, The (1935)",4.003311258,Drama|Mystery|Thriller
How to Train Your Dragon (2010),4.00042008,Adventure|Animation|Children|Fantasy|IMAX
"Dark Knight Rises, The (2012)",4.000209644,Action|Adventure|Crime|IMAX
Z (1969),4,Drama|Mystery|Thriller
"Clockwork Orange, A (1971)",3.995302503,Crime|Drama|Sci-Fi|Thriller
Serenity (2005),3.993260757,Action|Adventure|Sci-Fi
"Lock, Stock & Two Smoking Barrels (1998)",3.98867863,Comedy|Crime|Thriller
"Fugitive, The (1993)",3.985690083,Thriller
Memories of Murder (Salinui chueok) (2003),3.980902778,Crime|Drama|Mystery|Thriller
The Imitation Game (2014),3.980237154,Drama|Thriller
Miller's Crossing (1990),3.978052805,Crime|Drama|Film-Noir|Thriller
Hard-Boiled (Lat sau san taam) (1992),3.977893602,Action|Crime|Drama|Thriller
Infernal Affairs (Mou gaan dou) (2002),3.975900424,Crime|Drama|Thriller
Ip Man (2008),3.973447345,Action|Drama|War
"Bourne Ultimatum, The (2007)",3.97309687,Action|Crime|Thriller
For a Few Dollars More (Per qualche dollaro in più) (1965),3.973048728,Action|Drama|Thriller|Western
"Hidden Fortress, The (Kakushi-toride no san-akunin) (1958)",3.972505092,Action|Adventure
"Vanishing, The (Spoorloos) (1988)",3.970848708,Drama|Thriller
Batman Begins (2005),3.970753505,Action|Crime|IMAX
Elite Squad (Tropa de Elite) (2007),3.970489978,Action|Crime|Drama|Thriller
"Kingdom, The (Riget) (1994)",3.97005988,Drama|Horror|Mystery
Three Days of the Condor (3 Days of the Condor) (1975),3.969186047,Drama|Mystery|Romance|Thriller
House of Games (1987),3.967766497,Crime|Film-Noir|Mystery|Thriller
Into the Wild (2007),3.965520728,Action|Adventure|Drama
Star Trek (2009),3.96443433,Action|Adventure|Sci-Fi|IMAX
"French Connection, The (1971)",3.961439739,Action|Crime|Thriller
All Quiet on the Western Front (1930),3.954230769,Action|Drama|War
Sleuth (1972),3.954104478,Comedy|Mystery|Thriller
Gladiator (2000),3.952247704,Action|Adventure|Drama
Gladiator (1992),3.951460362,Action|Drama
Harry Potter and the Deathly Hallows: Part 2 (2011),3.950665328,Action|Adventure|Drama|Fantasy|Mystery|IMAX
Shoot the Piano Player (Tirez sur le pianiste) (1960),3.949786325,Crime|Drama|Romance|Thriller
"Murder, My Sweet (1944)",3.94960733,Crime|Film-Noir|Thriller
"Avengers, The (2012)",3.949485783,Action|Adventure|Sci-Fi|IMAX
"Boondock Saints, The (2000)",3.947365143,Action|Crime|Drama|Thriller
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),3.946610169,Action|Crime|Drama
Fail-Safe (1964),3.94558992,Drama|Thriller|War
Army of Shadows (L'armée des ombres) (1969),3.944444444,Action|Drama|Thriller|War
Nine Queens (Nueve reinas) (2000),3.944221509,Crime|Thriller
Wait Until Dark (1967),3.944010417,Drama|Thriller
"Cercle Rouge, Le (Red Circle, The) (1970)",3.943243243,Crime|Thriller
Scarface (1983),3.943015056,Action|Crime|Drama
Ugetsu (Ugetsu monogatari) (1953),3.94,Drama|Thriller
Gone Girl (2014),3.936443543,Drama|Thriller
Safety Last! (1923),3.935736677,Action|Comedy|Romance
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",3.935366409,Action|Western
"Day the Earth Stood Still, The (1951)",3.935213293,Drama|Sci-Fi|Thriller
Body Heat (1981),3.935141509,Crime|Thriller
"Kingdom II, The (Riget II) (1997)",3.934782609,Drama|Horror|Mystery
Knockin' on Heaven's Door (1997),3.934707904,Action|Comedy|Crime|Drama
"Outlaw Josey Wales, The (1976)",3.934468999,Action|Adventure|Drama|Thriller|Western
