Movie Name,Average Rating,genres
Seven Samurai (Shichinin no samurai) (1954),4.274179657,Action|Adventure|Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.247286822,Comedy|War
City of God (Cidade de Deus) (2002),4.235410064,Action|Adventure|Crime|Drama|Thriller
North by Northwest (1959),4.233538107,Action|Adventure|Mystery|Romance|Thriller
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.219009123,Action|Adventure
Yojimbo (1961),4.211716774,Action|Adventure
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.203809595,Adventure|Animation|Fantasy
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.197071748,Comedy|Romance
Star Wars: Episode IV - A New Hope (1977),4.190671902,Action|Adventure|Sci-Fi
Star Wars: Episode V - The Empire Strikes Back (1980),4.188202061,Action|Adventure|Sci-Fi
"Thin Man, The (1934)",4.184187016,Comedy|Crime
Wallace & Gromit: The Wrong Trousers (1993),4.181067767,Animation|Children|Comedy|Crime
"Princess Bride, The (1987)",4.176732339,Action|Adventure|Comedy|Fantasy|Romance
Life Is Beautiful (La Vita è bella) (1997),4.175837189,Comedy|Drama|Romance|War
Pulp Fiction (1994),4.174231169,Comedy|Crime|Drama|Thriller
Monty Python and the Holy Grail (1975),4.174146076,Adventure|Comedy|Fantasy
City Lights (1931),4.174122638,Comedy|Drama|Romance
"Sting, The (1973)",4.173556211,Comedy|Crime
"Philadelphia Story, The (1940)",4.171426401,Comedy|Drama|Romance
It Happened One Night (1934),4.170052581,Comedy|Romance
Wallace & Gromit: A Close Shave (1995),4.167315497,Animation|Children|Comedy
"General, The (1926)",4.162769784,Comedy|War
Lawrence of Arabia (1962),4.162102117,Adventure|Drama|War
"Treasure of the Sierra Madre, The (1948)",4.161396702,Action|Adventure|Drama|Western
American Beauty (1999),4.155933936,Comedy|Drama
His Girl Friday (1940),4.152998462,Comedy|Romance
My Neighbor Totoro (Tonari no Totoro) (1988),4.14948078,Animation|Children|Drama|Fantasy
Modern Times (1936),4.143086817,Comedy|Drama|Romance
"Lord of the Rings: The Return of the King, The (2003)",4.142382114,Action|Adventure|Drama|Fantasy
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.137925066,Adventure|Fantasy
"Great Escape, The (1963)",4.137655906,Action|Adventure|Drama|War
Intouchables (2011),4.132395909,Comedy|Drama
"Lady Eve, The (1941)",4.13018598,Comedy|Romance
Duck Soup (1933),4.129646256,Comedy|Musical|War
Fawlty Towers (1975-1979),4.12826087,Comedy
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.123240894,Action|Adventure|Western
Creature Comforts (1989),4.120696325,Animation|Comedy
Sanjuro (Tsubaki Sanjûrô) (1962),4.117038875,Action|Adventure|Drama
Fargo (1996),4.112359031,Comedy|Crime|Drama|Thriller
"Bridge on the River Kwai, The (1957)",4.110050891,Adventure|Drama|War
Wallace & Gromit: The Best of Aardman Animation (1996),4.109472525,Adventure|Animation|Comedy
