Movie Name,Average Rating,genres
"Shawshank Redemption, The (1994)",4.4469905,Crime|Drama
"Godfather, The (1972)",4.364732197,Crime|Drama
"Usual Suspects, The (1995)",4.334372208,Crime|Mystery|Thriller
Schindler's List (1993),4.310175011,Drama|War
"Godfather: Part II, The (1974)",4.275640558,Crime|Drama
Seven Samurai (Shichinin no samurai) (1954),4.274179657,Action|Adventure|Drama
Rear Window (1954),4.271333601,Mystery|Thriller
Band of Brothers (2001),4.263182346,Action|Drama|War
Casablanca (1942),4.258326831,Drama|Romance
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.256934866,Drama|Film-Noir|Romance
One Flew Over the Cuckoo's Nest (1975),4.248078979,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.247286822,Comedy|War
"Third Man, The (1949)",4.246001523,Film-Noir|Mystery|Thriller
City of God (Cidade de Deus) (2002),4.235410064,Action|Adventure|Crime|Drama|Thriller
"Lives of Others, The (Das leben der Anderen) (2006)",4.23479021,Drama|Romance|Thriller
North by Northwest (1959),4.233538107,Action|Adventure|Mystery|Romance|Thriller
Paths of Glory (1957),4.232623318,Drama|War
Fight Club (1999),4.227123124,Action|Crime|Drama|Thriller
Double Indemnity (1944),4.224281931,Crime|Drama|Film-Noir
12 Angry Men (1957),4.224137931,Drama
"Dark Knight, The (2008)",4.220129171,Action|Crime|Drama|IMAX
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.219009123,Action|Adventure
Yojimbo (1961),4.211716774,Action|Adventure
All About Eve (1950),4.204102777,Drama
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.203809595,Adventure|Animation|Fantasy
Chinatown (1974),4.199673416,Crime|Film-Noir|Mystery|Thriller
Notorious (1946),4.197789943,Film-Noir|Romance|Thriller
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.197071748,Comedy|Romance
M (1931),4.193171078,Crime|Film-Noir|Thriller
Star Wars: Episode IV - A New Hope (1977),4.190671902,Action|Adventure|Sci-Fi
To Kill a Mockingbird (1962),4.188943056,Drama
Star Wars: Episode V - The Empire Strikes Back (1980),4.188202061,Action|Adventure|Sci-Fi
"Matrix, The (1999)",4.187185881,Action|Sci-Fi|Thriller
"Thin Man, The (1934)",4.184187016,Comedy|Crime
Goodfellas (1990),4.183632508,Crime|Drama
Touch of Evil (1958),4.183022467,Crime|Film-Noir|Thriller
Black Mirror (2011),4.182989691,Drama|Sci-Fi
Wallace & Gromit: The Wrong Trousers (1993),4.181067767,Animation|Children|Comedy|Crime
Memento (2000),4.178546792,Mystery|Thriller
"Silence of the Lambs, The (1991)",4.17705651,Crime|Horror|Thriller
"Princess Bride, The (1987)",4.176732339,Action|Adventure|Comedy|Fantasy|Romance
Rashomon (Rashômon) (1950),4.176724138,Crime|Drama|Mystery
Life Is Beautiful (La Vita è bella) (1997),4.175837189,Comedy|Drama|Romance|War
Pulp Fiction (1994),4.174231169,Comedy|Crime|Drama|Thriller
Monty Python and the Holy Grail (1975),4.174146076,Adventure|Comedy|Fantasy
"Decalogue, The (Dekalog) (1989)",4.174129353,Crime|Drama|Romance
City Lights (1931),4.174122638,Comedy|Drama|Romance
Ran (1985),4.173611111,Drama|War
"Sting, The (1973)",4.173556211,Comedy|Crime
"Philadelphia Story, The (1940)",4.171426401,Comedy|Drama|Romance
It Happened One Night (1934),4.170052581,Comedy|Romance
Wallace & Gromit: A Close Shave (1995),4.167315497,Animation|Children|Comedy
On the Waterfront (1954),4.163536499,Crime|Drama
"General, The (1926)",4.162769784,Comedy|War
Lawrence of Arabia (1962),4.162102117,Adventure|Drama|War
"Treasure of the Sierra Madre, The (1948)",4.161396702,Action|Adventure|Drama|Western
Shadow of a Doubt (1943),4.159618008,Crime|Drama|Thriller
Strangers on a Train (1951),4.158614668,Crime|Drama|Film-Noir|Thriller
Inception (2010),4.156172003,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
American Beauty (1999),4.155933936,Comedy|Drama
Cinema Paradiso (Nuovo cinema Paradiso) (1989),4.154010989,Drama
His Girl Friday (1940),4.152998462,Comedy|Romance
American History X (1998),4.151207688,Crime|Drama
Grand Illusion (La grande illusion) (1937),4.150878294,Drama|War
My Neighbor Totoro (Tonari no Totoro) (1988),4.14948078,Animation|Children|Drama|Fantasy
Vertigo (1958),4.148006244,Drama|Mystery|Romance|Thriller
Witness for the Prosecution (1957),4.146604938,Drama|Mystery|Thriller
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),4.144328312,Drama
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),4.143596987,Drama
Modern Times (1936),4.143086817,Comedy|Drama|Romance
"Lord of the Rings: The Return of the King, The (2003)",4.142382114,Action|Adventure|Drama|Fantasy
Song of the Little Road (Pather Panchali) (1955),4.139947438,Drama
"Boot, Das (Boat, The) (1981)",4.13972965,Action|Drama|War
Jean de Florette (1986),4.139051432,Drama|Mystery
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.138888889,Drama
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.137925066,Adventure|Fantasy
"Great Escape, The (1963)",4.137655906,Action|Adventure|Drama|War
"400 Blows, The (Les quatre cents coups) (1959)",4.136267976,Crime|Drama
Blade Runner (1982),4.133705694,Action|Sci-Fi|Thriller
"Man for All Seasons, A (1966)",4.132595384,Drama
Intouchables (2011),4.132395909,Comedy|Drama
Citizen Kane (1941),4.130443344,Drama|Mystery
"Lady Eve, The (1941)",4.13018598,Comedy|Romance
Duck Soup (1933),4.129646256,Comedy|Musical|War
Once Upon a Time in the West (C'era una volta il West) (1968),4.128545496,Action|Drama|Western
"Manchurian Candidate, The (1962)",4.128504673,Crime|Thriller|War
Fawlty Towers (1975-1979),4.12826087,Comedy
"World of Apu, The (Apur Sansar) (1959)",4.124836601,Drama
"Hustler, The (1961)",4.124652339,Drama
Ikiru (1952),4.124329159,Drama
"Celebration, The (Festen) (1998)",4.123254799,Drama
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.123240894,Action|Adventure|Western
Henry V (1989),4.120811856,Action|Drama|Romance|War
Creature Comforts (1989),4.120696325,Animation|Comedy
Children of Paradise (Les enfants du paradis) (1945),4.117366412,Drama|Romance
Sanjuro (Tsubaki Sanjûrô) (1962),4.117038875,Action|Adventure|Drama
Rebecca (1940),4.115971625,Drama|Mystery|Romance|Thriller
"Best Years of Our Lives, The (1946)",4.114776445,Drama|War
Fargo (1996),4.112359031,Comedy|Crime|Drama|Thriller
Taxi Driver (1976),4.110575548,Crime|Drama|Thriller
Persona (1966),4.110200364,Drama
"Bridge on the River Kwai, The (1957)",4.110050891,Adventure|Drama|War
"Departed, The (2006)",4.109930813,Crime|Drama|Thriller
Cool Hand Luke (1967),4.109838809,Drama
Wallace & Gromit: The Best of Aardman Animation (1996),4.109472525,Adventure|Animation|Comedy
Apocalypse Now (1979),4.108899957,Action|Drama|War
"Lord of the Rings: The Two Towers, The (2002)",4.107520547,Adventure|Fantasy
Wild Strawberries (Smultronstället) (1957),4.106014581,Drama
Eternal Sunshine of the Spotless Mind (2004),4.105628132,Drama|Romance|Sci-Fi
Stalag 17 (1953),4.105514316,Drama|War
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",4.102848865,Drama
Central Station (Central do Brasil) (1998),4.102301255,Drama
"Professional, The (Le professionnel) (1981)",4.10189099,Action|Drama|Thriller
"African Queen, The (1951)",4.101558047,Adventure|Comedy|Romance|War
High and Low (Tengoku to jigoku) (1963),4.099833611,Crime|Drama|Film-Noir|Thriller
Princess Mononoke (Mononoke-hime) (1997),4.09629862,Action|Adventure|Animation|Drama|Fantasy
Some Folks Call It a Sling Blade (1993),4.093388121,Drama|Thriller
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),4.092081584,Adventure|Animation|Drama|Fantasy|Sci-Fi
Old Boy (2003),4.091026261,Mystery|Thriller
"Killing Fields, The (1984)",4.09006993,Drama|War
Inherit the Wind (1960),4.09004128,Drama
Grave of the Fireflies (Hotaru no haka) (1988),4.08974359,Animation|Drama|War
Three Colors: Red (Trois couleurs: Rouge) (1994),4.0895615,Drama
Reservoir Dogs (1992),4.089361317,Crime|Mystery|Thriller
"Conversation, The (1974)",4.089211618,Drama|Mystery
"Gold Rush, The (1925)",4.088090551,Adventure|Comedy|Romance
"Palm Beach Story, The (1942)",4.087599545,Comedy
"Lady Vanishes, The (1938)",4.086520947,Drama|Mystery|Thriller
Louis C.K.: Shameless (2007),4.083613917,Comedy
Scenes From a Marriage (Scener ur ett äktenskap) (1973),4.083501006,Drama
Raging Bull (1980),4.083410565,Drama
L.A. Confidential (1997),4.083376807,Crime|Film-Noir|Mystery|Thriller
Rififi (Du rififi chez les hommes) (1955),4.083113456,Crime|Film-Noir|Thriller
"Wages of Fear, The (Salaire de la peur, Le) (1953)",4.082865169,Action|Adventure|Drama|Thriller
Some Like It Hot (1959),4.082677165,Comedy|Crime
Manon of the Spring (Manon des sources) (1986),4.08251634,Drama
Tampopo (1985),4.082474227,Comedy
Roman Holiday (1953),4.081865459,Comedy|Drama|Romance
Hands on a Hard Body (1996),4.081409478,Comedy|Documentary
Annie Hall (1977),4.081258532,Comedy|Romance
Louis C.K.: Chewed Up (2008),4.081178161,Comedy
To Live (Huozhe) (1994),4.081020255,Drama
Singin' in the Rain (1952),4.080878755,Comedy|Musical|Romance
Sweet Smell of Success (1957),4.076679341,Drama|Film-Noir
Andrei Rublev (Andrey Rublyov) (1969),4.075993092,Drama|War
Dersu Uzala (1975),4.075851393,Adventure|Drama
High Noon (1952),4.075288403,Drama|Western
Lone Star (1996),4.074902724,Drama|Mystery|Western
Whiplash (2014),4.074750831,Drama
"Graduate, The (1967)",4.073889313,Comedy|Drama|Romance
