Movie Name,Average Rating,genres
Seven Samurai (Shichinin no samurai) (1954),4.274179657,Action|Adventure|Drama
Band of Brothers (2001),4.263182346,Action|Drama|War
Casablanca (1942),4.258326831,Drama|Romance
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),4.256934866,Drama|Film-Noir|Romance
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.247286822,Comedy|War
City of God (Cidade de Deus) (2002),4.235410064,Action|Adventure|Crime|Drama|Thriller
"Lives of Others, The (Das leben der Anderen) (2006)",4.23479021,Drama|Romance|Thriller
North by Northwest (1959),4.233538107,Action|Adventure|Mystery|Romance|Thriller
Fight Club (1999),4.227123124,Action|Crime|Drama|Thriller
"Dark Knight, The (2008)",4.220129171,Action|Crime|Drama|IMAX
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.219009123,Action|Adventure
Yojimbo (1961),4.211716774,Action|Adventure
Notorious (1946),4.197789943,Film-Noir|Romance|Thriller
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.197071748,Comedy|Romance
Star Wars: Episode IV - A New Hope (1977),4.190671902,Action|Adventure|Sci-Fi
Star Wars: Episode V - The Empire Strikes Back (1980),4.188202061,Action|Adventure|Sci-Fi
"Matrix, The (1999)",4.187185881,Action|Sci-Fi|Thriller
"Thin Man, The (1934)",4.184187016,Comedy|Crime
Wallace & Gromit: The Wrong Trousers (1993),4.181067767,Animation|Children|Comedy|Crime
"Princess Bride, The (1987)",4.176732339,Action|Adventure|Comedy|Fantasy|Romance
Life Is Beautiful (La Vita è bella) (1997),4.175837189,Comedy|Drama|Romance|War
Pulp Fiction (1994),4.174231169,Comedy|Crime|Drama|Thriller
Monty Python and the Holy Grail (1975),4.174146076,Adventure|Comedy|Fantasy
"Decalogue, The (Dekalog) (1989)",4.174129353,Crime|Drama|Romance
City Lights (1931),4.174122638,Comedy|Drama|Romance
"Sting, The (1973)",4.173556211,Comedy|Crime
"Philadelphia Story, The (1940)",4.171426401,Comedy|Drama|Romance
It Happened One Night (1934),4.170052581,Comedy|Romance
Wallace & Gromit: A Close Shave (1995),4.167315497,Animation|Children|Comedy
"General, The (1926)",4.162769784,Comedy|War
"Treasure of the Sierra Madre, The (1948)",4.161396702,Action|Adventure|Drama|Western
Inception (2010),4.156172003,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
American Beauty (1999),4.155933936,Comedy|Drama
His Girl Friday (1940),4.152998462,Comedy|Romance
Vertigo (1958),4.148006244,Drama|Mystery|Romance|Thriller
Modern Times (1936),4.143086817,Comedy|Drama|Romance
"Lord of the Rings: The Return of the King, The (2003)",4.142382114,Action|Adventure|Drama|Fantasy
"Boot, Das (Boat, The) (1981)",4.13972965,Action|Drama|War
"Great Escape, The (1963)",4.137655906,Action|Adventure|Drama|War
Blade Runner (1982),4.133705694,Action|Sci-Fi|Thriller
Intouchables (2011),4.132395909,Comedy|Drama
"Lady Eve, The (1941)",4.13018598,Comedy|Romance
Duck Soup (1933),4.129646256,Comedy|Musical|War
Once Upon a Time in the West (C'era una volta il West) (1968),4.128545496,Action|Drama|Western
Fawlty Towers (1975-1979),4.12826087,Comedy
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.123240894,Action|Adventure|Western
Henry V (1989),4.120811856,Action|Drama|Romance|War
Creature Comforts (1989),4.120696325,Animation|Comedy
Children of Paradise (Les enfants du paradis) (1945),4.117366412,Drama|Romance
Sanjuro (Tsubaki Sanjûrô) (1962),4.117038875,Action|Adventure|Drama
Rebecca (1940),4.115971625,Drama|Mystery|Romance|Thriller
Fargo (1996),4.112359031,Comedy|Crime|Drama|Thriller
Wallace & Gromit: The Best of Aardman Animation (1996),4.109472525,Adventure|Animation|Comedy
Apocalypse Now (1979),4.108899957,Action|Drama|War
Eternal Sunshine of the Spotless Mind (2004),4.105628132,Drama|Romance|Sci-Fi
"Professional, The (Le professionnel) (1981)",4.10189099,Action|Drama|Thriller
"African Queen, The (1951)",4.101558047,Adventure|Comedy|Romance|War
Princess Mononoke (Mononoke-hime) (1997),4.09629862,Action|Adventure|Animation|Drama|Fantasy
"Gold Rush, The (1925)",4.088090551,Adventure|Comedy|Romance
"Palm Beach Story, The (1942)",4.087599545,Comedy
Louis C.K.: Shameless (2007),4.083613917,Comedy
"Wages of Fear, The (Salaire de la peur, Le) (1953)",4.082865169,Action|Adventure|Drama|Thriller
Some Like It Hot (1959),4.082677165,Comedy|Crime
Tampopo (1985),4.082474227,Comedy
Roman Holiday (1953),4.081865459,Comedy|Drama|Romance
Hands on a Hard Body (1996),4.081409478,Comedy|Documentary
Annie Hall (1977),4.081258532,Comedy|Romance
Louis C.K.: Chewed Up (2008),4.081178161,Comedy
Singin' in the Rain (1952),4.080878755,Comedy|Musical|Romance
"Graduate, The (1967)",4.073889313,Comedy|Drama|Romance
Louis C.K.: Hilarious (2010),4.071817193,Comedy
Manhattan (1979),4.071038929,Comedy|Drama|Romance
Charade (1963),4.069916297,Comedy|Crime|Mystery|Romance|Thriller
Dr. Horrible's Sing-Along Blog (2008),4.068371943,Comedy|Drama|Musical|Sci-Fi
My Man Godfrey (1936),4.068142611,Comedy|Romance
Kind Hearts and Coronets (1949),4.067738232,Comedy|Drama
"Grand Day Out with Wallace and Gromit, A (1989)",4.066765197,Adventure|Animation|Children|Comedy|Sci-Fi
"Killer, The (Die xue shuang xiong) (1989)",4.066748855,Action|Crime|Drama|Thriller
"Great Dictator, The (1940)",4.066649173,Comedy|Drama|War
Howl's Moving Castle (Hauru no ugoku shiro) (2004),4.066078117,Adventure|Animation|Fantasy|Romance
Saving Private Ryan (1998),4.064416599,Action|Drama|War
It's a Wonderful Life (1946),4.064292815,Drama|Fantasy|Romance
Throne of Blood (Kumonosu jô) (1957),4.064090481,Action|Drama|Thriller|War
Louis C.K.: Live at the Beacon Theater (2011),4.062348668,Comedy
Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),4.061916879,Action|Adventure|Animation|Children|Fantasy|Sci-Fi
Bringing Up Baby (1938),4.061102327,Comedy|Romance
Top Hat (1935),4.058018868,Comedy|Musical|Romance
"Rules of the Game, The (La règle du jeu) (1939)",4.058,Comedy|Drama
Persuasion (1995),4.057545973,Drama|Romance
You Can Count on Me (2000),4.054770927,Drama|Romance
Sullivan's Travels (1941),4.054500703,Adventure|Comedy|Romance
Butch Cassidy and the Sundance Kid (1969),4.053638,Action|Western
Arsenic and Old Lace (1944),4.053597331,Comedy|Mystery|Thriller
Heart of a Dog (Sobachye serdtse) (1988),4.053278689,Comedy|Drama|Sci-Fi
Mister Roberts (1955),4.052339413,Comedy|Drama|War
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.050573554,Action|Crime|Drama|Thriller
"Night at the Opera, A (1935)",4.047279793,Comedy|Musical|Romance
"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",4.046599496,Crime|Drama|Mystery|Romance|Thriller
"Apartment, The (1960)",4.046146341,Comedy|Drama|Romance
North & South (2004),4.044217687,Drama|Romance
Trust (1990),4.042993631,Comedy|Drama|Romance
Braveheart (1995),4.042533802,Action|Drama|War
Cowboy Bebop (1998),4.042372881,Action|Adventure|Animation|Crime|Sci-Fi
Snatch (2000),4.04214679,Comedy|Crime|Thriller
Louis C.K.: Oh My God (2013),4.040492958,Comedy
Sunrise: A Song of Two Humans (1927),4.039045553,Drama|Romance
WALL·E (2008),4.038929041,Adventure|Animation|Children|Romance|Sci-Fi
Django Unchained (2012),4.037892791,Action|Drama|Western
Eat Drink Man Woman (Yin shi nan nu) (1994),4.035609756,Comedy|Drama|Romance
To Have and Have Not (1944),4.034192825,Adventure|Drama|Romance|Thriller|War
Eddie Izzard: Dress to Kill (1999),4.033653846,Comedy
Good Will Hunting (1997),4.032516594,Drama|Romance
This Is Spinal Tap (1984),4.032234957,Comedy
"Bourne Identity, The (1988)",4.031519065,Action|Adventure|Drama|Mystery|Thriller
"Christmas Story, A (1983)",4.030887583,Children|Comedy
Down by Law (1986),4.030623819,Comedy|Drama|Film-Noir
To Catch a Thief (1955),4.029155139,Crime|Mystery|Romance|Thriller
Forrest Gump (1994),4.029000181,Comedy|Drama|Romance|War
My Life as a Dog (Mitt liv som hund) (1985),4.028682818,Comedy|Drama
"Black Cat, White Cat (Crna macka, beli macor) (1998)",4.02659176,Comedy|Romance
In the Mood For Love (Fa yeung nin wa) (2000),4.026479008,Drama|Romance
Run Lola Run (Lola rennt) (1998),4.025309766,Action|Crime
