Movie Name,Average Rating,genres
Seven Samurai (Shichinin no samurai) (1954),4.274179657,Action|Adventure|Drama
City of God (Cidade de Deus) (2002),4.235410064,Action|Adventure|Crime|Drama|Thriller
North by Northwest (1959),4.233538107,Action|Adventure|Mystery|Romance|Thriller
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.219009123,Action|Adventure
Yojimbo (1961),4.211716774,Action|Adventure
Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.203809595,Adventure|Animation|Fantasy
Star Wars: Episode IV - A New Hope (1977),4.190671902,Action|Adventure|Sci-Fi
Star Wars: Episode V - The Empire Strikes Back (1980),4.188202061,Action|Adventure|Sci-Fi
"Matrix, The (1999)",4.187185881,Action|Sci-Fi|Thriller
Black Mirror (2011),4.182989691,Drama|Sci-Fi
"Silence of the Lambs, The (1991)",4.17705651,Crime|Horror|Thriller
"Princess Bride, The (1987)",4.176732339,Action|Adventure|Comedy|Fantasy|Romance
Monty Python and the Holy Grail (1975),4.174146076,Adventure|Comedy|Fantasy
Lawrence of Arabia (1962),4.162102117,Adventure|Drama|War
"Treasure of the Sierra Madre, The (1948)",4.161396702,Action|Adventure|Drama|Western
Inception (2010),4.156172003,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
"Lord of the Rings: The Return of the King, The (2003)",4.142382114,Action|Adventure|Drama|Fantasy
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.137925066,Adventure|Fantasy
"Great Escape, The (1963)",4.137655906,Action|Adventure|Drama|War
Blade Runner (1982),4.133705694,Action|Sci-Fi|Thriller
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",4.123240894,Action|Adventure|Western
Sanjuro (Tsubaki Sanjûrô) (1962),4.117038875,Action|Adventure|Drama
"Bridge on the River Kwai, The (1957)",4.110050891,Adventure|Drama|War
Wallace & Gromit: The Best of Aardman Animation (1996),4.109472525,Adventure|Animation|Comedy
"Lord of the Rings: The Two Towers, The (2002)",4.107520547,Adventure|Fantasy
